Fimmy,Dragapult,Spatk,2,Water,2,Bulk,2,Tera1,1,Tera2,1,Mega1,1,Mega2,1
Baldspot,Gouging Fire,,,,,,,,,,,,,,
Kwad,Landorus,Atk,2,Water,2,Bulk,2,Tera1,1,Tera2,1,Mega1,1,Mega2,1
Stormson,Palafin,Spatk,2,Grass,2,Atk,2,Tera1,1,Tera2,1,Mega1,1,Mega2,1
Psydomia,Great Tusk,Speed,2,Fairy,2,Flex,2,Tera1,1,Tera2,1,Mega1,1,Mega2,1
Stargn,Iron Bundle,Speed,2,Fairy,2,Atk,2,Tera1,1,Tera2,1,Mega1,1,Mega2,1
Kernmaster,Iron Valiant,Spatk,0,Spatk,0,Spatk,0,Spatk,0,Spatk,0,Spatk,0,Spatk,0
Faelisong,Sneasler,Bulk,2,Dark,2,Spatk,2,Tera1,1,Tera2,1,Mega1,1,Mega2,1
Kernmaster,Blaziken,Spatk,0,Spatk,0,Spatk,0,Spatk,0,Spatk,0,Spatk,0,Spatk,0
Kernmaster,Mew,Spatk,0,Spatk,0,Spatk,0,Spatk,0,Spatk,0,Spatk,0,Spatk,0
